2013,india
2014,india,Friday,August 15Aug 15,Independence Day  ,
2014,india,Sunday,August 17Aug 17,Janmashtami ,  Restricted Holiday. Celebrates the birth of Lord Shri Krishna  
2014,india,Monday,August 18Aug 18,Parsi New Year ,  Jamshed Navroz. Mumbai Only  
2014,india,Monday,August 18Aug 18,Janmashtami ,  Celebrates the birth of Lord Shri Krishna  
2014,india,Friday,August 29Aug 29,Ganesh Chaturthi ,  Varasiddhi Vinayaka Vrata  
2014,india,Wednesday,September 03Sep 3,  Birthday of Baba Sri Chand  ,  Marks the birth of the founder of the ascetic sect of Udasis  
2014,india,Saturday,September 06Sep 6,  First Onam  ,  Kerala only. Harvest Festival  
2014,india,Sunday,September 07Sep 7,  Thiruvonam  ,  Kerala only. Harvest Festival  
2014,india,Monday,September 08Sep 8,  Sree Narayana Guru Jayanti  ,  Kerala only. Marks the birth of a key social reformer  
2014,india,Sunday,September 21Sep 21,  Sree Narayana Guru Samadhi  ,  Kerala only. Marks the death of a key social reformer  
2014,india,Tuesday,September 23Sep 23,Mahalaya ,"  Odisha, Tripura, West Bengal only.  "
2014,india,Wednesday,September 24Sep 24,Mahalaya ,  Karnataka only.  
2014,india,Wednesday,October 01Oct 1,Saptami of Durgapuja ,"  Odisha, Tripura, West Bengal only.  "
2014,india,Thursday,October 02Oct 2,Mahatma Gandhi Birthday  ,   Gandhi Jayanti  
2014,india,Friday,October 03Oct 3,Dussehra ,  Vijaya Dashami  
2014,india,Friday,October 03Oct 3,Ayudha Puja ,  Karnataka only  
2014,india,Sunday,October 05Oct 5,Bakrid ,  Kerala. Date varies on Lunar cycle  
2014,india,Monday,October 06Oct 6,Idul Juha ,  Bakrid.   
2014,india,Tuesday,October 07Oct 7,  Lakshmi Puja  ,"  Odisha, Tripura, West Bengal only.  "
2014,india,Wednesday,October 08Oct 8,Maharishi Valmiki Birthday ,"  Delhi, Haryana, Himachal Pradesh, Karnataka, Punjab.  "
2014,india,Wednesday,October 15Oct 15,  Public Holiday  ,  Allow voting in Assembly elections  
2014,india,Wednesday,October 22Oct 22,Deepawali ,"  Kerala, Tamil Nadu only.  "
2014,india,Thursday,October 23Oct 23,Deewali ,"  Deepawali. Except Karnataka, Kerala, Tamil Nadu, West Bengal.  "
2014,india,Thursday,October 23Oct 23,Kali Puja ,  West Bengal only. Festival dedicated to the Hindu goddess Kali  
2014,india,Friday,October 24Oct 24,Balipadyami Deepavali ,"  Karnataka, Maharashtra only  "
2014,india,Saturday,October 25Oct 25,Muharram ,  Observed mainly by the Shia Muslim community  
2014,india,Wednesday,October 29Oct 29,Chhath Puja ,  Delhi only  
2014,india,Saturday,November 01Nov 1,Kannada Rajyothsava ,  Bangalore Only. Karnataka Formation Day  
2014,india,Saturday,November 01Nov 1,  Haryana Day  ,  Haryana only.  
2014,india,Tuesday,November 04Nov 4,Muharram (10th Day) ,   Day of Ashurah  
2014,india,Thursday,November 06Nov 6,Guru Nanak Birthday  ,"  The Birthday of Guru Nanak Sahib, the founder of Sikhism, falls on full moon day of the month Kartik   "
2014,india,Saturday,November 08Nov 8,  Kanakadasa Jayanthi  ,  Karnataka only. Marks the birthday of the great poet and saint shri Kanaka Dasa  
2014,india,Tuesday,December 23Dec 23,  Chaudhary Charan Singh Birthday  ,  Uttar Pradesh only  
